goods,aprice,bprice,discount,url
리저드,17800,46000,62,https://www.sdmall.com/detail/00FA99
마이디어 하이엔드,17800,46000,62,https://www.sdmall.com/detail/00EC39
머메이드,17800,46000,62,https://www.sdmall.com/detail/010075
머메이드 하이엔드 블루,17800,46000,62,https://www.sdmall.com/detail/00EC26
미로,22000,57000,62,https://www.sdmall.com/detail/010073
빈티지스퀘어,22000,62000,65,https://www.sdmall.com/detail/01009A
삼각파티,17800,46000,62,https://www.sdmall.com/detail/0100A1
스케일리 하이엔드 믹스,17800,48000,63,https://www.sdmall.com/detail/00D85F
스케일리2 하이엔드 블루믹스,17800,46000,62,https://www.sdmall.com/detail/00F5C2
스테인글라스 하이엔드,17800,46000,62,https://www.sdmall.com/detail/00EC33
스테인글라스 하이엔드,17800,46000,62,https://www.sdmall.com/detail/00EC36
스팀펑크 모노크롬 블랙,17800,40000,56,https://www.sdmall.com/detail/00EC37
스팀펑크 포인트 블랙,17800,46000,62,https://www.sdmall.com/detail/00F5C0
스팀펑크2 포인트 블랙,22000,57000,62,https://www.sdmall.com/detail/00F5C5
슬래시 모노크롬 네이비,17800,38000,54,https://www.sdmall.com/detail/00CB19
오블릭체크 하이엔드 블랙,17800,45000,61,https://www.sdmall.com/detail/00D85C
오블릭체크 하이엔드 블루,17800,45000,61,https://www.sdmall.com/detail/00D85B
오일,17800,46000,62,https://www.sdmall.com/detail/00FA9A
울프 하이엔드 블랙,17800,46000,62,https://www.sdmall.com/detail/00F5BE
워터멜론 하이엔드 블루,17800,46000,62,https://www.sdmall.com/detail/00F5BC
워터체크,17800,46000,62,https://www.sdmall.com/detail/010077
워터체크,17800,46000,62,https://www.sdmall.com/detail/010078
워터컬러,17800,46000,62,https://www.sdmall.com/detail/00FC81
웨이브,17800,46000,62,https://www.sdmall.com/detail/010076
웨이브,22000,57000,62,https://www.sdmall.com/detail/010072
웨이브 세트상품,29800,85000,65,https://www.sdmall.com/detail/0118ED
인디언,17800,46000,62,https://www.sdmall.com/detail/00FA97
제이커스닥,22000,62000,65,https://www.sdmall.com/detail/00FC85
지브라,22000,57000,62,https://www.sdmall.com/detail/010099
지브라 남자수영복 JB9MNS0389,17800,46000,62,https://www.sdmall.com/detail/01009C
지브라C 포인트,17800,41000,57,https://www.sdmall.com/detail/00C76B
지브라C 포인트 레드,17800,44000,60,https://www.sdmall.com/detail/00CB0E
지브라C 포인트 블루,17800,44000,60,https://www.sdmall.com/detail/00CB0D
톡톡,17800,46000,62,https://www.sdmall.com/detail/0100A0
톡톡,22000,57000,62,https://www.sdmall.com/detail/01009B
트라이앵글,17800,46000,62,https://www.sdmall.com/detail/00FA96
트라이앵글,22000,62000,65,https://www.sdmall.com/detail/00FA92
티제이,17800,44000,60,https://www.sdmall.com/detail/00F5ED
티제이,17800,44000,60,https://www.sdmall.com/detail/00F5EF
티제이,17800,44000,60,https://www.sdmall.com/detail/00F5F1
티제이,17800,46000,62,https://www.sdmall.com/detail/00F5F0
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC87
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC88
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC89
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC8A
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC8B
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5E7
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5EB
티제이,22000,57000,62,https://www.sdmall.com/detail/00F5EC
티제이 세트상품,29800,85000,65,https://www.sdmall.com/detail/0118EB
파이톤,17800,46000,62,https://www.sdmall.com/detail/010060
파이톤,17800,46000,62,https://www.sdmall.com/detail/010061
파이톤,22000,57000,62,https://www.sdmall.com/detail/01005F
파이톤 세트상품,29800,85000,65,https://www.sdmall.com/detail/0118EC
판타지아하이엔드믹스,17800,46000,62,https://www.sdmall.com/detail/00FC7D
팜,17800,46000,62,https://www.sdmall.com/detail/00FA9B
팜,22000,62000,65,https://www.sdmall.com/detail/00FA93
팜 세트상품,27800,85000,68,https://www.sdmall.com/detail/0118D5
팜2,17800,46000,62,https://www.sdmall.com/detail/01007A
페스티벌,17800,46000,62,https://www.sdmall.com/detail/00FA98
페인트 하이엔드 블루,17800,48000,63,https://www.sdmall.com/detail/00CB08
포스트잇,17800,46000,62,https://www.sdmall.com/detail/00FC7A
포스트잇,22000,62000,65,https://www.sdmall.com/detail/00FC76
